movieId,title
tt0151804,Office Space (1999)
tt0099348,Dances with Wolves (1990)
tt0094291,Wall Street (1987)
tt0120915,Star Wars: Episode I
tt0121765,Star Wars: Episode II
tt0087363,Gremlins (1984)
tt0093894,The Running Man (1987)
tt0102926,The Silence of the Lambs (1991)
tt0167404,The Sixth Sense (1999)
tt0315733,21 Grams (2003)
tt0111257,Speed (1994)
tt0230600,The Others (2001)
tt0245429,Spirited Away (2001)
tt0251736,House of 1000 Corpses (2003)
tt0338526,Van Helsing (2004)
tt0056592,To Kill a Mockingbird (1962)
tt0370263,Alien vs. Predator (2004)
tt0076759,Star Wars: Episode IV
tt0080684,Star Wars: Episode V
tt0086190,Star Wars: Episode VI
tt0051201,Witness for the Prosecution (1957)
tt0289043,28 Days Later (2002)
tt0053125,North by Northwest (1959)
tt0120201,Starship Troopers (1997)
tt0114814,The Usual Suspects (1995)
tt0088258,This Is Spinal Tap (1984)
tt0093773,Predator (1987)
tt0078346,Superman (1978)
tt0081573,Superman II (1980)
tt0065214,The Wild Bunch (1969)
tt0130827,Run Lola Run (1998)
tt0145487,Spider-Man (2002)
tt0088247,The Terminator (1984)
tt0103064,Terminator 2: Judgment Day (1991)
tt0181852,Terminator 3: Rise of the Machines (2003)
tt0129387,There's Something About Mary (1998)
tt0084787,The Thing (1982)
tt0100802,Total Recall (1990)
tt0120363,Toy Story 2 (1999)
tt0118799,Life Is Beautiful (1997)
tt0139654,Training Day (2001)
tt0086979,Blood Simple (1984)
tt0087469,Indiana Jones and the Temple of Doom (1984)
tt0268126,Adaptation. (2002)
tt0335266,Lost in Translation (2003)
tt0053291,Some Like It Hot (1959)
tt0215750,Enemy at the Gates (2001)
tt0362270,The Life Aquatic with Steve Zissou (2004)
tt0113497,Jumanji (1995)
tt0101414,Beauty and the Beast (1991)
tt0088944,Commando (1985)
tt0110413,Léon: The Professional (1994)
tt0050083,12 Angry Men (1957)
tt0360486,Constantine (2005)
tt0057115,The Great Escape (1963)
tt0033870,The Maltese Falcon (1941)
tt0055830,Carnival of Souls (1962)
tt0091080,Friday the 13th Part VI: Jason Lives (1986)
tt0029843,The Adventures of Robin Hood (1938)
tt0021814,Dracula (1931)
tt0361862,The Machinist (2004)
tt0330793,The Punisher (2004)
